Epoch 17: duration loss = 0.560 | prior loss = 1.421 | diffusion loss = 0.118
Epoch 18: duration loss = 0.557 | prior loss = 1.420 | diffusion loss = 0.111
Epoch 19: duration loss = 0.555 | prior loss = 1.417 | diffusion loss = 0.122
Epoch 20: duration loss = 0.550 | prior loss = 1.401 | diffusion loss = 0.123
Epoch 21: duration loss = 0.547 | prior loss = 1.409 | diffusion loss = 0.113
Epoch 22: duration loss = 0.547 | prior loss = 1.394 | diffusion loss = 0.136
Epoch 23: duration loss = 0.536 | prior loss = 1.402 | diffusion loss = 0.139
Epoch 24: duration loss = 0.536 | prior loss = 1.391 | diffusion loss = 0.105
Epoch 25: duration loss = 0.540 | prior loss = 1.393 | diffusion loss = 0.103
Epoch 26: duration loss = 0.537 | prior loss = 1.382 | diffusion loss = 0.102
Epoch 27: duration loss = 0.532 | prior loss = 1.379 | diffusion loss = 0.118
Epoch 28: duration loss = 0.527 | prior loss = 1.376 | diffusion loss = 0.104
Epoch 29: duration loss = 0.527 | prior loss = 1.374 | diffusion loss = 0.132
Epoch 30: duration loss = 0.525 | prior loss = 1.364 | diffusion loss = 0.116
Epoch 31: duration loss = 0.524 | prior loss = 1.378 | diffusion loss = 0.119
Epoch 32: duration loss = 0.532 | prior loss = 1.375 | diffusion loss = 0.122
Epoch 33: duration loss = 0.523 | prior loss = 1.371 | diffusion loss = 0.118
Epoch 34: duration loss = 0.524 | prior loss = 1.369 | diffusion loss = 0.116
Epoch 35: duration loss = 0.520 | prior loss = 1.360 | diffusion loss = 0.112
Epoch 36: duration loss = 0.519 | prior loss = 1.361 | diffusion loss = 0.134
Epoch 37: duration loss = 0.515 | prior loss = 1.358 | diffusion loss = 0.097
Epoch 38: duration loss = 0.518 | prior loss = 1.351 | diffusion loss = 0.122
Epoch 39: duration loss = 0.513 | prior loss = 1.353 | diffusion loss = 0.108
Epoch 40: duration loss = 0.514 | prior loss = 1.355 | diffusion loss = 0.125
Epoch 41: duration loss = 0.512 | prior loss = 1.360 | diffusion loss = 0.123
Epoch 42: duration loss = 0.507 | prior loss = 1.352 | diffusion loss = 0.144
Epoch 43: duration loss = 0.509 | prior loss = 1.344 | diffusion loss = 0.112
Epoch 44: duration loss = 0.501 | prior loss = 1.340 | diffusion loss = 0.114
Epoch 45: duration loss = 0.501 | prior loss = 1.341 | diffusion loss = 0.133
Epoch 46: duration loss = 0.506 | prior loss = 1.338 | diffusion loss = 0.131
Epoch 47: duration loss = 0.505 | prior loss = 1.345 | diffusion loss = 0.109
Epoch 48: duration loss = 0.497 | prior loss = 1.332 | diffusion loss = 0.115
Epoch 49: duration loss = 0.499 | prior loss = 1.340 | diffusion loss = 0.115
Epoch 50: duration loss = 0.498 | prior loss = 1.333 | diffusion loss = 0.133
Epoch 51: duration loss = 0.499 | prior loss = 1.329 | diffusion loss = 0.112
Epoch 52: duration loss = 0.499 | prior loss = 1.332 | diffusion loss = 0.100
Epoch 53: duration loss = 0.491 | prior loss = 1.324 | diffusion loss = 0.128
Epoch 54: duration loss = 0.496 | prior loss = 1.324 | diffusion loss = 0.116
Epoch 55: duration loss = 0.493 | prior loss = 1.337 | diffusion loss = 0.096
Epoch 56: duration loss = 0.491 | prior loss = 1.329 | diffusion loss = 0.089
Epoch 57: duration loss = 0.487 | prior loss = 1.325 | diffusion loss = 0.117
Epoch 58: duration loss = 0.487 | prior loss = 1.321 | diffusion loss = 0.115
Epoch 59: duration loss = 0.489 | prior loss = 1.318 | diffusion loss = 0.134
Epoch 60: duration loss = 0.485 | prior loss = 1.333 | diffusion loss = 0.108
Epoch 61: duration loss = 0.491 | prior loss = 1.319 | diffusion loss = 0.117
Epoch 62: duration loss = 0.488 | prior loss = 1.318 | diffusion loss = 0.137
Epoch 63: duration loss = 0.484 | prior loss = 1.319 | diffusion loss = 0.125
Epoch 64: duration loss = 0.489 | prior loss = 1.318 | diffusion loss = 0.115
Epoch 65: duration loss = 0.479 | prior loss = 1.314 | diffusion loss = 0.124
Epoch 66: duration loss = 0.479 | prior loss = 1.317 | diffusion loss = 0.118
Epoch 67: duration loss = 0.479 | prior loss = 1.312 | diffusion loss = 0.110
Epoch 68: duration loss = 0.471 | prior loss = 1.313 | diffusion loss = 0.111
Epoch 69: duration loss = 0.474 | prior loss = 1.309 | diffusion loss = 0.129
Epoch 70: duration loss = 0.469 | prior loss = 1.308 | diffusion loss = 0.112
Epoch 71: duration loss = 0.476 | prior loss = 1.316 | diffusion loss = 0.104
Epoch 72: duration loss = 0.469 | prior loss = 1.307 | diffusion loss = 0.155
Epoch 73: duration loss = 0.472 | prior loss = 1.301 | diffusion loss = 0.128
Epoch 74: duration loss = 0.476 | prior loss = 1.303 | diffusion loss = 0.129
Epoch 75: duration loss = 0.468 | prior loss = 1.300 | diffusion loss = 0.102
Epoch 76: duration loss = 0.473 | prior loss = 1.306 | diffusion loss = 0.090
Epoch 77: duration loss = 0.471 | prior loss = 1.303 | diffusion loss = 0.113
Epoch 78: duration loss = 0.463 | prior loss = 1.295 | diffusion loss = 0.136
Epoch 79: duration loss = 0.462 | prior loss = 1.297 | diffusion loss = 0.095
Epoch 80: duration loss = 0.460 | prior loss = 1.298 | diffusion loss = 0.141
Epoch 81: duration loss = 0.462 | prior loss = 1.295 | diffusion loss = 0.112
Epoch 82: duration loss = 0.463 | prior loss = 1.300 | diffusion loss = 0.114
Epoch 83: duration loss = 0.461 | prior loss = 1.293 | diffusion loss = 0.135
Epoch 84: duration loss = 0.460 | prior loss = 1.291 | diffusion loss = 0.128
Epoch 85: duration loss = 0.458 | prior loss = 1.289 | diffusion loss = 0.105
Epoch 86: duration loss = 0.452 | prior loss = 1.286 | diffusion loss = 0.106
